epoch,accuracy,loss,val_accuracy,val_loss
0,0.3802933990955353,1.327497959136963,0.44092220067977905,1.2754555940628052
1,0.6363133192062378,0.9965394735336304,0.6685879230499268,0.9423975944519043
2,0.7863271236419678,0.5886672139167786,0.6829971075057983,0.8002981543540955
3,0.8466648459434509,0.41411930322647095,0.7118155360221863,0.8109241724014282
4,0.8859673142433167,0.324617475271225,0.6858789920806885,0.8291991949081421
5,0.9114309549331665,0.26703381538391113,0.680115282535553,0.8559965491294861
6,0.9291447401046753,0.22158950567245483,0.6916426420211792,0.9287502765655518
7,0.9429836869239807,0.1830659955739975,0.6945244669914246,0.9904677867889404
8,0.951287031173706,0.1568535566329956,0.7002881765365601,1.0939843654632568
9,0.9593135714530945,0.13927307724952698,0.6772334575653076,1.0989700555801392
10,0.9640188217163086,0.12156283855438232,0.6858789920806885,1.1295222043991089
11,0.9656794667243958,0.11157737672328949,0.6829971075057983,1.181299090385437
12,0.9684472680091858,0.10042247176170349,0.6714697480201721,1.2245099544525146
13,0.9703847169876099,0.0910363718867302,0.6628242135047913,1.3164178133010864
14,0.9684472680091858,0.09342032670974731,0.6743515729904175,1.3026164770126343
15,0.9698311686515808,0.08959371596574783,0.6599423885345459,1.3525893688201904
16,0.9759202599525452,0.08483297377824783,0.6628242135047913,1.3659452199935913
17,0.9739828109741211,0.07759418338537216,0.6743515729904175,1.3975476026535034
18,0.9767506122589111,0.07323607802391052,0.6628242135047913,1.4593981504440308
19,0.975089967250824,0.07380905747413635,0.6685879230499268,1.408888816833496
20,0.975089967250824,0.0714806541800499,0.6570605039596558,1.4754586219787598
21,0.9778577089309692,0.07195614278316498,0.6541786789894104,1.5408446788787842
22,0.9775809645652771,0.06393535435199738,0.6484149694442749,1.5574840307235718
23,0.9759202599525452,0.0663042664527893,0.6455331444740295,1.5681569576263428
24,0.9775809645652771,0.06229231506586075,0.6628242135047913,1.5635639429092407
